Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales_stage1	Nmales_stage1	Nfemales_stage2	Nmales_stage2	NJuvFemales	NJuvMales
2	60	0	8	801	0	23	0	1	11	11	0	0
2	60	0	10	276	0	12	0	0	4	8	0	0
2	70	0	0	0	0	0	0	0	0	0	0	0
2	70	0	1	671	0	20	0	0	6	14	0	0
2	70	0	2	960	0	12	2	2	5	3	0	0
2	70	0	4	293	0	23	0	2	6	15	0	0
2	70	0	5	769	0	18	2	3	4	9	0	0
2	70	0	3	325	0	8	0	0	4	4	0	0
2	70	0	6	415	0	19	0	1	7	11	0	0
2	70	0	12	191	0	7	0	0	2	5	0	0
2	70	0	9	1012	0	25	0	1	13	11	0	0
2	70	0	7	407	0	11	0	0	5	6	0	0
2	70	0	11	406	0	11	0	0	5	6	0	0
2	70	0	8	801	0	19	0	0	11	8	0	0
2	70	0	10	276	0	10	0	0	7	3	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	671	0	2	0	0	1	1	1	2
3	10	0	0	0	0	0	0	0	0	0	0	0
3	10	0	1	671	0	2	0	0	1	1	4	1
3	10	0	2	960	0	2	1	1	0	0	0	0
3	10	0	5	769	0	1	0	0	1	0	0	0
3	10	0	9	1012	0	8	3	2	2	1	1	0
3	10	0	8	801	0	9	1	0	2	6	0	0
3	10	0	10	276	0	2	0	0	0	2	0	0
3	20	0	0	0	0	0	0	0	0	0	0	0
3	20	0	1	671	0	1	0	0	0	1	0	0
3	20	0	2	960	0	6	4	0	1	1	1	0
3	20	0	4	293	0	2	0	1	0	1	0	0
3	20	0	5	769	0	15	3	3	6	3	4	5
3	20	0	3	325	0	1	0	0	1	0	0	0
3	20	0	9	1012	0	7	0	1	4	2	3	4
3	20	0	11	406	0	2	0	0	0	2	0	0
3	20	0	8	801	0	12	1	1	3	7	0	0
3	20	0	10	276	0	5	0	0	4	1	0	0
3	30	0	0	0	0	0	0	0	0	0	0	0
3	30	0	1	671	0	14	1	1	5	7	0	3
3	30	0	2	960	0	12	1	5	3	3	1	0
3	30	0	4	293	0	12	0	0	5	7	1	0
3	30	0	5	769	0	13	2	1	4	6	1	3
3	30	0	3	325	0	4	0	0	2	2	2	0
3	30	0	6	415	0	4	0	1	1	2	0	0
3	30	0	12	191	0	5	0	2	1	2	0	1
3	30	0	9	1012	0	20	0	3	8	9	1	1
3	30	0	11	406	0	11	2	1	5	3	1	0
3	30	0	8	801	0	16	0	0	9	7	0	0
3	30	0	10	276	0	13	0	0	6	7	0	0
3	40	0	0	0	0	0	0	0	0	0	0	0
3	40	0	1	671	0	15	1	0	4	10	0	0
3	40	0	2	960	0	19	3	1	11	4	1	0
3	40	0	4	293	0	15	0	0	7	8	0	0
3	40	0	5	769	0	9	0	0	4	5	4	3
3	40	0	3	325	0	5	0	0	1	4	0	1
3	40	0	6	415	0	14	0	0	6	8	0	0
3	40	0	12	191	0	5	0	1	3	1	1	1
3	40	0	9	1012	0	26	0	1	11	14	1	0
3	40	0	7	407	0	7	0	0	5	2	0	0
3	40	0	11	406	0	14	0	1	4	9	0	1
3	40	0	8	801	0	17	0	0	9	8	0	1
3	40	0	10	276	0	11	0	0	5	6	0	0
3	50	0	0	0	0	0	0	0	0	0	0	0
3	50	0	1	671	0	16	0	0	4	12	0	0
3	50	0	2	960	0	18	2	2	9	5	2	3
3	50	0	4	293	0	17	0	1	7	9	0	0
3	50	0	5	769	0	15	1	2	8	4	5	3
3	50	0	3	325	0	5	1	0	2	2	0	0
3	50	0	6	415	0	13	0	0	6	7	0	0
3	50	0	12	191	0	5	0	0	5	0	0	0
3	50	0	9	1012	0	25	0	0	11	14	0	0
3	50	0	7	407	0	9	0	0	5	4	0	0
3	50	0	11	406	0	18	0	0	6	12	0	0
3	50	0	8	801	0	16	0	0	5	11	0	0
3	50	0	10	276	0	8	0	0	4	4	0	0
3	60	0	0	0	0	0	0	0	0	0	0	0
3	60	0	1	671	0	14	0	0	3	11	1	0
3	60	0	2	960	0	10	2	0	4	4	3	2
3	60	0	4	293	0	23	0	0	9	14	0	0
3	60	0	5	769	0	13	4	2	3	4	0	0
3	60	0	3	325	0	7	0	0	4	3	0	1
3	60	0	6	415	0	12	0	0	8	4	0	0
3	60	0	12	191	0	6	0	0	5	1	1	0
3	60	0	9	1012	0	25	0	0	9	16	0	0
3	60	0	7	407	0	9	0	0	5	4	0	0
3	60	0	11	406	0	20	0	0	11	9	0	1
3	60	0	8	801	0	18	0	0	7	11	0	0
3	60	0	10	276	0	14	0	0	5	9	0	0
3	70	0	0	0	0	0	0	0	0	0	0	0
3	70	0	1	671	0	13	0	0	5	8	0	0
3	70	0	2	960	0	20	4	3	9	4	0	0
3	70	0	4	293	0	26	0	0	11	15	0	0
3	70	0	5	769	0	12	1	3	7	1	0	0
3	70	0	3	325	0	8	2	1	4	1	0	0
3	70	0	6	415	0	16	1	1	9	5	0	0
3	70	0	12	191	0	8	0	1	5	2	0	0
3	70	0	9	1012	0	21	1	0	6	14	0	0
3	70	0	7	407	0	11	0	0	3	8	0	0
3	70	0	11	406	0	16	1	0	8	7	0	0
3	70	0	8	801	0	16	1	0	7	8	0	0
3	70	0	10	276	0	15	0	0	7	8	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	671	0	2	0	0	1	1	3	5
4	10	0	0	0	0	0	0	0	0	0	0	0
4	10	0	1	671	0	8	3	1	2	2	3	0
4	10	0	2	960	0	3	0	2	1	0	0	0
4	10	0	4	293	0	3	0	0	1	2	0	0
4	10	0	5	769	0	20	7	3	7	3	3	1
4	10	0	12	191	0	1	0	0	0	1	0	0
4	10	0	9	1012	0	1	0	0	0	1	0	0
4	10	0	7	407	0	3	0	0	2	1	0	0
4	10	0	8	801	0	3	0	0	1	2	1	1
4	10	0	10	276	0	2	0	0	1	1	0	1
4	20	0	0	0	0	0	0	0	0	0	0	0
4	20	0	1	671	0	13	0	2	5	6	0	0
4	20	0	2	960	0	19	4	4	6	5	4	0
4	20	0	4	293	0	10	0	1	3	6	0	0
4	20	0	5	769	0	18	2	3	10	3	1	2
4	20	0	3	325	0	6	2	0	2	2	0	0
4	20	0	6	415	0	3	0	0	1	2	0	0
4	20	0	12	191	0	4	0	0	3	1	0	2
4	20	0	9	1012	0	13	0	1	6	6	0	2
4	20	0	7	407	0	5	0	0	3	2	0	0
4	20	0	11	406	0	1	0	0	0	1	0	0
4	20	0	8	801	0	13	0	0	6	7	0	0
4	20	0	10	276	0	7	0	1	1	5	0	0
4	30	0	0	0	0	0	0	0	0	0	0	0
4	30	0	1	671	0	17	1	4	8	4	0	1
4	30	0	2	960	0	15	3	2	6	4	3	1
4	30	0	4	293	0	21	0	0	12	9	0	0
4	30	0	5	769	0	22	2	5	10	5	0	2
4	30	0	3	325	0	1	0	0	1	0	0	0
4	30	0	6	415	0	11	0	0	4	7	0	0
4	30	0	12	191	0	9	0	0	6	3	0	0
4	30	0	9	1012	0	27	0	2	14	11	1	1
4	30	0	7	407	0	10	0	0	7	3	0	0
4	30	0	11	406	0	15	4	0	7	4	0	1
4	30	0	8	801	0	13	1	0	4	8	0	0
4	30	0	10	276	0	12	0	0	5	7	0	0
4	40	0	0	0	0	0	0	0	0	0	0	0
4	40	0	1	671	0	10	0	1	7	2	4	2
4	40	0	2	960	0	17	2	5	4	6	1	2
4	40	0	4	293	0	24	0	0	12	12	0	0
4	40	0	5	769	0	16	1	1	11	3	5	5
4	40	0	3	325	0	5	0	0	4	1	0	0
4	40	0	6	415	0	15	0	0	5	10	0	0
4	40	0	12	191	0	9	0	0	4	5	0	0
4	40	0	9	1012	0	41	0	0	15	26	0	0
4	40	0	7	407	0	12	0	0	6	6	0	0
4	40	0	11	406	0	10	0	0	5	5	2	1
4	40	0	8	801	0	18	0	1	12	5	1	0
4	40	0	10	276	0	13	0	0	8	5	0	0
4	50	0	0	0	0	0	0	0	0	0	0	0
4	50	0	1	671	0	3	0	0	2	1	2	2
4	50	0	2	960	0	10	2	1	4	3	2	3
4	50	0	4	293	0	23	0	0	10	13	0	0
4	50	0	5	769	0	19	2	3	8	6	0	2
4	50	0	3	325	0	9	0	0	4	5	0	0
4	50	0	6	415	0	16	0	0	8	8	0	0
4	50	0	12	191	0	7	0	0	3	4	1	0
4	50	0	9	1012	0	39	0	0	19	20	0	0
4	50	0	7	407	0	14	0	0	7	7	0	0
4	50	0	11	406	0	8	0	1	3	4	1	0
4	50	0	8	801	0	20	0	0	13	7	0	0
4	50	0	10	276	0	14	0	1	7	6	0	0
4	60	0	0	0	0	0	0	0	0	0	0	0
4	60	0	1	671	0	14	1	2	7	4	1	0
4	60	0	2	960	0	21	7	6	7	1	2	0
4	60	0	4	293	0	23	0	0	10	13	0	0
4	60	0	5	769	0	15	4	4	4	3	4	2
4	60	0	3	325	0	8	0	0	4	4	0	0
4	60	0	6	415	0	18	0	0	11	7	0	0
4	60	0	12	191	0	6	0	0	1	5	0	0
4	60	0	9	1012	0	30	0	0	13	17	0	1
4	60	0	7	407	0	16	0	0	8	8	0	0
4	60	0	11	406	0	10	0	0	6	4	0	1
4	60	0	8	801	0	30	0	0	16	14	0	0
4	60	0	10	276	0	10	0	0	6	4	0	0
4	70	0	0	0	0	0	0	0	0	0	0	0
4	70	0	1	671	0	14	0	0	9	5	0	0
4	70	0	2	960	0	13	0	2	8	3	0	0
4	70	0	4	293	0	28	0	1	14	13	0	0
4	70	0	5	769	0	18	3	2	7	6	0	0
4	70	0	3	325	0	9	0	0	1	8	0	0
4	70	0	6	415	0	20	1	0	9	10	0	0
4	70	0	12	191	0	4	0	1	1	2	0	0
4	70	0	9	1012	0	30	0	0	14	16	0	0
4	70	0	7	407	0	19	0	0	10	9	0	0
4	70	0	11	406	0	11	0	0	6	5	0	0
4	70	0	8	801	0	22	0	1	13	8	0	0
4	70	0	10	276	0	15	0	0	5	10	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	1	671	0	2	0	0	1	1	1	0
6	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	1	671	0	2	0	0	1	1	1	3
6	10	0	0	0	0	0	0	0	0	0	0	0
6	10	0	1	671	0	0	0	0	0	0	0	0
6	10	0	2	960	0	7	2	5	0	0	0	0
6	10	0	4	293	0	1	0	0	0	1	0	0
6	20	0	0	0	0	0	0	0	0	0	0	0
6	20	0	1	671	0	0	0	0	0	0	0	0
6	20	0	2	960	0	1	0	0	1	0	0	0
6	20	0	4	293	0	0	0	0	0	0	0	0
6	20	0	6	415	0	1	0	0	1	0	0	0
6	20	0	7	407	0	6	0	0	4	2	0	0
6	20	0	8	801	0	1	0	0	0	1	0	0
6	30	0	0	0	0	0	0	0	0	0	0	0
6	30	0	1	671	0	0	0	0	0	0	0	0
6	30	0	2	960	0	0	0	0	0	0	0	0
6	30	0	4	293	0	0	0	0	0	0	0	0
6	30	0	6	415	0	1	0	0	1	0	0	0
6	30	0	7	407	0	5	0	0	3	2	0	0
6	30	0	8	801	0	0	0	0	0	0	0	0
6	40	0	0	0	0	0	0	0	0	0	0	0
6	40	0	1	671	0	0	0	0	0	0	0	0
6	40	0	2	960	0	0	0	0	0	0	0	0
6	40	0	4	293	0	0	0	0	0	0	0	0
6	40	0	6	415	0	0	0	0	0	0	0	0
6	40	0	7	407	0	2	0	0	1	1	0	0
6	40	0	8	801	0	0	0	0	0	0	0	0
6	50	0	0	0	0	0	0	0	0	0	0	0
6	50	0	1	671	0	0	0	0	0	0	0	0
6	50	0	2	960	0	0	0	0	0	0	0	0
6	50	0	4	293	0	0	0	0	0	0	0	0
6	50	0	6	415	0	0	0	0	0	0	0	0
6	50	0	7	407	0	2	0	0	1	1	0	0
6	50	0	8	801	0	0	0	0	0	0	0	0
6	60	0	0	0	0	0	0	0	0	0	0	0
6	60	0	1	671	0	0	0	0	0	0	0	0
6	60	0	2	960	0	0	0	0	0	0	0	0
6	60	0	4	293	0	0	0	0	0	0	0	0
6	60	0	6	415	0	0	0	0	0	0	0	0
6	60	0	7	407	0	2	0	0	1	1	0	0
6	60	0	8	801	0	0	0	0	0	0	0	0
6	70	0	0	0	0	0	0	0	0	0	0	0
6	70	0	1	671	0	0	0	0	0	0	0	0
6	70	0	2	960	0	0	0	0	0	0	0	0
6	70	0	4	293	0	0	0	0	0	0	0	0
6	70	0	6	415	0	0	0	0	0	0	0	0
6	70	0	7	407	0	2	0	0	1	1	0	0
6	70	0	8	801	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	1	671	0	2	0	0	1	1	1	3
7	10	0	0	0	0	0	0	0	0	0	0	0
7	10	0	1	671	0	0	0	0	0	0	0	0
7	10	0	2	960	0	6	2	3	1	0	0	0
7	10	0	9	1012	0	0	0	0	0	0	0	0
7	10	0	8	801	0	7	1	2	2	2	0	0
7	10	0	10	276	0	1	0	0	0	1	0	0
7	20	0	0	0	0	0	0	0	0	0	0	0
7	20	0	1	671	0	1	0	0	0	1	0	0
7	20	0	2	960	0	1	0	0	0	1	0	0
7	20	0	4	293	0	5	1	0	2	2	0	0
7	20	0	5	769	0	0	0	0	0	0	0	0
7	20	0	3	325	0	3	0	0	1	2	0	0
7	20	0	6	415	0	4	0	0	2	2	0	0
7	20	0	9	1012	0	14	3	2	7	2	1	0
7	20	0	7	407	0	1	0	0	0	1	0	0
7	20	0	11	406	0	1	0	0	1	0	0	0
7	20	0	8	801	0	10	0	1	5	4	0	0
7	20	0	10	276	0	5	0	0	2	3	0	0
7	30	0	0	0	0	0	0	0	0	0	0	0
7	30	0	1	671	0	14	3	0	9	2	1	1
7	30	0	2	960	0	21	5	6	4	6	2	1
7	30	0	4	293	0	8	1	0	3	4	0	0
7	30	0	5	769	0	0	0	0	0	0	0	0
7	30	0	3	325	0	6	0	0	3	3	0	0
7	30	0	6	415	0	7	0	0	4	3	0	0
7	30	0	9	1012	0	18	2	0	9	7	0	1
7	30	0	7	407	0	7	0	0	5	2	0	0
7	30	0	11	406	0	9	1	2	4	2	0	0
7	30	0	8	801	0	15	2	2	5	6	0	0
7	30	0	10	276	0	5	0	0	1	4	0	0
7	40	0	0	0	0	0	0	0	0	0	0	0
7	40	0	1	671	0	13	0	1	3	9	0	1
7	40	0	2	960	0	21	5	4	11	1	4	3
7	40	0	4	293	0	5	0	0	1	4	0	0
7	40	0	5	769	0	11	1	3	5	2	6	3
7	40	0	3	325	0	8	0	0	1	7	0	0
7	40	0	6	415	0	13	0	0	8	5	0	0
7	40	0	12	191	0	4	1	0	1	2	0	0
7	40	0	9	1012	0	24	1	1	9	13	0	0
7	40	0	7	407	0	15	0	0	10	5	0	0
7	40	0	11	406	0	11	0	0	7	4	0	0
7	40	0	8	801	0	16	0	0	8	8	0	0
7	40	0	10	276	0	8	0	0	2	6	0	0
7	50	0	0	0	0	0	0	0	0	0	0	0
7	50	0	1	671	0	17	1	0	7	9	0	0
7	50	0	2	960	0	18	4	4	8	2	2	2
7	50	0	4	293	0	13	0	0	5	8	0	0
7	50	0	5	769	0	18	2	1	9	6	2	1
7	50	0	3	325	0	10	0	0	3	7	0	0
7	50	0	6	415	0	10	0	0	6	4	0	0
7	50	0	12	191	0	4	0	1	1	2	0	0
7	50	0	9	1012	0	22	0	0	8	14	0	1
7	50	0	7	407	0	14	0	0	7	7	0	0
7	50	0	11	406	0	15	0	1	9	5	0	0
7	50	0	8	801	0	15	0	0	6	9	0	0
7	50	0	10	276	0	11	0	0	1	10	0	0
7	60	0	0	0	0	0	0	0	0	0	0	0
7	60	0	1	671	0	21	0	0	3	18	1	0
7	60	0	2	960	0	20	3	2	15	0	0	0
7	60	0	4	293	0	16	0	0	7	9	0	0
7	60	0	5	769	0	14	1	0	6	7	3	1
7	60	0	3	325	0	8	0	0	3	5	0	0
7	60	0	6	415	0	16	0	0	7	9	0	0
